"id","Nom","pop","type","c","p","e","s"
"14179","Cordebugle",142,"c",,,"140000002",
"14180","Cordey",145,"c",,,"241400514",
"14181","Cormelles-le-Royal",4797,"c",,,"140000001",
"14182","Cormolain",405,"c",,,"140000003",
"14182","cormolain",395,"c","14182",,,
"14183","Cossesseville",98,"c",,,"140000007",
"14184","Cottun",202,"c",,,"241400555",
"14185","Coudray-Rabut",316,"c",,,"241400878",
"14186","coulombs",384,"c","14406",,,
"14187","coulonces",745,"c","14762",,,
"14188","coulvain",373,"c","14579",,,
"14189","coupesarte",36,"c","14431",,,
"14190","Courcy",141,"c",,,"241400514",
"14191","Courseulles-sur-Mer",4165,"c",,,"241400860",
"14192","courson",435,"c","14658",,,
"14193","Courtonne-la-Meurdrac",692,"c",,,"140000002",
"14194","Courtonne-les-Deux-Églises",673,"c",,,"140000002",
"14195","Courvaudon",220,"c",,,"140000004",
"14196","Crépon",218,"c",,,"140000005",
"14197","Cresserons",1184,"c",,,"241400860",
"14198","Cresseveuille",263,"c",,,"140000010",
"14200","Creully sur Seulles",2405,"c",,,"140000005",
"14200","creully",1692,"c","14200",,,
"14201","crevecoeur-en-auge",515,"c","14431",,,
"14202","Cricquebuf",300,"c",,,"140000011",
"14203","Cricqueville-en-Auge",185,"c",,,"140000010",
"14204","Cricqueville-en-Bessin",189,"c",,,"140000003",
"14205","Cristot",209,"c",,,"140000005",
"14206","Crocy",310,"c",,,"241400514",
"14207","Croisilles",641,"c",,,"140000007",
"14208","croissanville",445,"c","14431",,,
"14209","Crouay",534,"c",,,"140000003",
"14210","la croupte",133,"c","14371",,,
"14211","Culey-le-Patry",350,"c",,,"140000007",
"14212","cully",174,"c","14406",,,
"14213","curcy-sur-orne",458,"c","14689",,,
"14214","Cussy",171,"c",,,"241400555",
"14215","Cuverville",2027,"c",,,"140000001",
"14216","Damblainville",230,"c",,,"241400514",
"14217","dampierre",117,"c","14672",,,
"14218","Danestal",365,"c",,,"241400878",
"14219","danvou-la-ferriere",167,"c","14027",,,
"14220","Deauville",3725,"c",,,"241400415",
"14221","Démouville",3245,"c",,,"140000001",
"14222","le desert",83,"c","14726",,,
"14223","Le Détroit",89,"c",,,"241400514",
"14224","Deux-Jumeaux",63,"c",,,"140000003",
"14225","Dives-sur-Mer",5761,"c",,,"140000010",
"14226","Donnay",258,"c",,,"140000007",
"14227","Douville-en-Auge",220,"c",,,"140000010",
"14228","Douvres-la-Délivrande",5156,"c",,,"241400860",
"14229","Dozulé",2145,"c",,,"140000010",
"14230","Drubec",112,"c",,,"241400761",
"14231","Beaufour-Druval",436,"c",,,"241400761",
"14232","Ducy-Sainte-Marguerite",144,"c",,,"140000005",
"14235","ecrammeville",199,"c","14281",,,
"14236","Ellon",471,"c",,,"241400555",
"14237","Émiéville",583,"c",,,"140000009",
"14238","Englesqueville-en-Auge",119,"c",,,"241400878",
"14239","Englesqueville-la-Percée",90,"c",,,"140000003",
"14240","Épaney",532,"c",,,"241400514",
"14241","Épinay-sur-Odon",642,"c",,,"140000004",
"14242","Épron",1616,"c",,,"140000001",
"14243","Équemauville",1391,"c",,,"140000011",
"14244","Eraines",338,"c",,,"241400514",
"14245","Ernes",331,"c",,,"241400514",
"14246","Escoville",807,"c",,,"140000010",
"14248","Espins",221,"c",,,"140000007",
"14249","Esquay-Notre-Dame",1438,"c",,,"140000008",
"14250","Esquay-sur-Seulles",316,"c",,,"241400555",
"14251","Esson",512,"c",,,"140000007",
"14252","Estrées-la-Campagne",240,"c",,,"140000007",
"14253","estry",355,"c","14726",,,
"14254","Éterville",1552,"c",,,"140000001",
"14255","etouvy",305,"c","14061",,,
"14256","Étréham",321,"c",,,"140000003",
"14257","Évrecy",2000,"c",,,"140000008",
"14258","Falaise",8294,"c",,,"241400514",
"14259","familly",127,"c","14371",,,
"14260","Fauguernon",251,"c",,,"140000002",
"14261","Le Faulq",341,"c",,,"241400878",
"14264","la ferriere-harang",315,"c","14061",,,
"14265","fervaques",709,"c","14371",,,
"14266","Feuguerolles-Bully",1408,"c",,,"140000008",
"14268","fierville-bray",504,"c","14005",,,
"14269","Fierville-les-Parcs",203,"c",,,"241400878",
"14270","Firfol",437,"c",,,"140000002",
"14271","Fleury-sur-Orne",4660,"c",,,"140000001",
"14272","La Folie",118,"c",,,"140000003",
"14273","La Folletière-Abenon",141,"c",,,"140000002",
"14274","Fontaine-Étoupefour",2189,"c",,,"140000008",
"14275","Fontaine-Henry",483,"c",,,"140000005",
"14276","Fontaine-le-Pin",361,"c",,,"241400514",
"14277","Fontenay-le-Marmion",1817,"c",,,"140000008",
"14278","Fontenay-le-Pesnel",1185,"c",,,"140000005",
"14279","fontenermont",143,"c","14658",,,
"14280","Formentin",235,"c",,,"241400761",
"14281","Formigny La Bataille",713,"c",,,"140000003",
"14281","formigny",251,"c","14281",,,
"14282","Foulognes",202,"c",,,"140000003",
"14283","Fourches",225,"c",,,"241400514",
"14284","Fourneaux-le-Val",165,"c",,,"241400514",
"14285","Le Fournet",57,"c",,,"241400761",
"14286","Fourneville",494,"c",,,"140000011",
"14287","Frénouville",1997,"c",,,"140000009",
"14288","Le Fresne-Camilly",828,"c",,,"140000001",
"14289","Fresné-la-Mère",631,"c",,,"241400514",
"14290","Fresney-le-Puceux",787,"c",,,"140000007",
"14291","Fresney-le-Vieux",275,"c",,,"140000007",
"14292","friardel",240,"c","14740",,,
"14293","Fumichon",281,"c",,,"140000002",
"14294","Garcelles-Secqueville",825,"c",,,"140000001",
"14296","le gast",223,"c","14658",,,
"14297","Gavrus",556,"c",,,"140000008",
"14298","Géfosse-Fontenay",138,"c",,,"140000003",
"14299","Genneville",773,"c",,,"140000011",
"14300","Gerrots",54,"c",,,"241400761",
"14301","Giberville",5034,"c",,,"140000001",
"14302","Glanville",175,"c",,,"241400878",
"14303","Glos",932,"c",,,"140000002",
"14304","Gonneville-sur-Honfleur",854,"c",,,"140000011",
"14305","Gonneville-sur-Mer",694,"c",,,"140000010",
"14306","Gonneville-en-Auge",412,"c",,,"140000010",
"14307","Goupillières",175,"c",,,"140000007",
"14308","Goustranville",185,"c",,,"140000010",
"14309","Gouvix",794,"c",,,"140000007",
"14310","Grainville-Langannerie",756,"c",,,"140000007",
"14311","Grainville-sur-Odon",982,"c",,,"140000008",
"14312","Grandcamp-Maisy",1693,"c",,,"140000003",
"14313","grandchamp-le-chateau",68,"c","14431",,,
