"insee_2017","bati","parc","cons","mais","app","pro","div","loc","dens"
"76748",2693,43245,43245,22,0,2,0,24,5.54973
"76749",1146,15024,15024,8,0,1,0,9,5.99045
"76750",4105,53781,41227,14,8,9,0,31,7.51943
"76751",5823,70068,70068,34,4,4,0,42,5.99418
"76752",23156,248256,204864,102,15,25,1,143,6.98025
"76753",7796,55240,53368,70,4,0,0,74,13.8659
"76754",578,6577,6577,5,23,2,0,30,45.6153
"76755",4184,72535,62088,33,0,1,0,34,5.4761
"76756",1709,16464,16464,8,0,0,0,8,4.85907
"76757",2921,50280,42793,24,0,1,0,25,5.84214
"76758",95481,492236,487103,445,627,44,0,1116,22.911
"76759",2787,43488,43488,21,0,1,0,22,5.05887
