"id","Nom","pop","type","c","p","e","s"
"14043","Barou-en-Auge",84,"c",,,"241400514",
"14144","Caumont-sur-Orne",84,"c","14689",,,
"27395","Melicourt",84,"c",,,"270000004",
"50234","La Haye-Bellefond",84,"c",,,"200043354",
"50634","Videcosville",84,"c",,,"501000001",
"61488","Touquettes",84,"c",,,"610000005",
"76335","Gueutteville",84,"c",,,"760000006",
"61120","Coudehard",85,"c",,,"610000009",
"14512","Pontecoulant",86,"c",,,"140000006",
"50035","Baudreville",86,"c","50236",,,
"76454","Mortemer",86,"c",,,"760000007",
"76635","Saint-Pierre-des-Jonquieres",86,"c",,,"247600604",
"27149","La Chapelle-Hareng",87,"c",,,"270000003",
"61266","Le Menil-Guyon",87,"c",,,"200035103",
"14748","Vieux-Bourg",88,"c",,,"241400878",
"61286","Montgaudry",88,"c",,,"200036069",
"14223","Le Detroit",89,"c",,,"241400514",
"27145","Chanteloup",89,"c","27157",,,
"61152","Ecorches",89,"c",,,"610000009",
"76218","Doudeauville",89,"c",,,"760000003",
"14239","Englesqueville-la-Percee",90,"c",,,"140000003",
"14440","Montamy",90,"c","14061",,,
"14533","Repentigny",90,"c",,,"241400761",
"50134","Chevry",90,"c","50363",,,
"50250","Houtteville",90,"c","50400",,,
"50357","Morigny",90,"c",,,"200043354",
"61122","Coulmer",90,"c",,,"610000008",
"61374","Saint-Christophe-de-Chaulieu",90,"c",,,"610000006",
"14148","Cerqueux",92,"c","14371",,,
"27688","Villalet",92,"c","27693",,,
"61493","La Trinite-des-Laitiers",92,"c",,,"610000008",
"14502","Pierrepont",93,"c",,,"241400514",
"14539","La Rocque",93,"c","14726",,,
"27303","Guernanville",93,"c","27565",,,
"27530","Saint-Denis-d'Augerons",93,"c",,,"270000004",
"50026","Azeville",93,"c",,,"501000001",
"61434","Saint-Nicolas-des-Laitiers",93,"c","61167",,,
"14358","Leaupartie",94,"c",,,"241400761",
"50028","La Baleine",94,"c",,,"500000003",
"50373","Neuville-au-Plain",94,"c",,,"200042729",
"61311","Normandel",94,"c",,,"610000004",
"76383","Lestanville",94,"c",,,"760000006",
"61080","Chahains",95,"c",,,"246100655",
"61089","Champosoult",95,"c",,,"610000008",
"76679","Sommesnil",95,"c",,,"760000008",
"14445","Montfiquet",96,"c",,,"140000003",
"14446","Montigny",96,"c",,,"140000008",
"27570","Saint-Martin-la-Campagne",96,"c",,,"270000006",
"14660","Saint-Vaast-en-Auge",97,"c",,,"140000010",
"14183","Cossesseville",98,"c",,,"140000007",
"14469","Norrey-en-Auge",98,"c",,,"241400514",
"14550","Rumesnil",98,"c",,,"241400761",
"27579","Saint-Ouen-de-Pontcheuil",98,"c",,,"270000001",
"50578","Sortosville",98,"c",,,"501000001",
"61190","Ginai",98,"c",,,"610000009",
"14573","Saint-Denis-Maisoncelles",99,"c","14061",,,
